When,Threat Name,Threat Path,Event,Cleanup Status,Severity,Alert,Root Cause,Business File,User,User Groups,Device,Device Group,IPAddress,Date,Hour,DayOfWeek,DayOfWeekNum,User Domain,Username
2025-07-17 04:51:01+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\prakash.chandra220,Unknown,Altermed-172,Global Computer Group,172.16.0.100,2025-07-17,4,Thursday,3,ALTERMEDRCM,prakash.chandra220
2025-07-17 04:51:01+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\prakash.chandra220,Unknown,Altermed-172,Global Computer Group,172.16.0.100,2025-07-17,4,Thursday,3,ALTERMEDRCM,prakash.chandra220
2025-07-17 04:51:01+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\prakash.chandra220,Unknown,Altermed-172,Global Computer Group,172.16.0.100,2025-07-17,4,Thursday,3,ALTERMEDRCM,prakash.chandra220
2025-07-15 00:22:42+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Akhil.Thakur424,Unknown,Altermed-41,Global Computer Group,172.16.0.210,2025-07-15,0,Tuesday,1,ALTERMEDRCM,Akhil.Thakur424
2025-07-15 00:22:41+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Akhil.Thakur424,Unknown,Altermed-41,Global Computer Group,172.16.0.210,2025-07-15,0,Tuesday,1,ALTERMEDRCM,Akhil.Thakur424
2025-07-15 00:22:41+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Akhil.Thakur424,Unknown,Altermed-41,Global Computer Group,172.16.0.210,2025-07-15,0,Tuesday,1,ALTERMEDRCM,Akhil.Thakur424
2025-07-14 13:23:36+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\ritika.bhardwaj253,Unknown,Altermed-44,Global Computer Group,172.16.0.221,2025-07-14,13,Monday,0,ALTERMEDRCM,ritika.bhardwaj253
2025-07-14 13:23:36+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\ritika.bhardwaj253,Unknown,Altermed-44,Global Computer Group,172.16.0.221,2025-07-14,13,Monday,0,ALTERMEDRCM,ritika.bhardwaj253
2025-07-14 13:23:36+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\ritika.bhardwaj253,Unknown,Altermed-44,Global Computer Group,172.16.0.221,2025-07-14,13,Monday,0,ALTERMEDRCM,ritika.bhardwaj253
2025-07-12 07:55:12+05:30,PUA,C:\Users\simarjeet.kaur135\AppData\Local\Google\Chrome\User Data\Default\Cache\Cache_Data\f_0003fe,PUA detected: 'Generic Reputation PUA' at 'C:\Users\simarjeet.kaur135\AppData\Local\Google\Chrome\User Data\Default\Cache\Cache_Data\f_0003fe',Cleaned Up,Medium,No,-,-,ALTERMEDRCM\Irfan.Sheikh217,Global User Group,Altermed-93,Global Computer Group,192.168.3.171,2025-07-12,7,Saturday,5,ALTERMEDRCM,Irfan.Sheikh217
2025-07-12 06:35:13+05:30,PUA,C:\Users\simarjeet.kaur135\Downloads\x-lite_thh1-Y1.exe,PUA detected: 'Generic Reputation PUA' at 'C:\Users\simarjeet.kaur135\Downloads\x-lite_thh1-Y1.exe',Cleaned Up,Medium,No,-,-,ALTERMEDRCM\Irfan.Sheikh217,Global User Group,Altermed-93,Global Computer Group,192.168.3.171,2025-07-12,6,Saturday,5,ALTERMEDRCM,Irfan.Sheikh217
2025-07-11 19:02:38+05:30,Lockdown,Microsoft Edge,'Lockdown' exploit prevented in Microsoft Edge,-,Low,No,-,-,ALTERMEDRCM\Jitender.Singh4,Global User Group,Altermed-211,Global Computer Group,192.168.4.36,2025-07-11,19,Friday,4,ALTERMEDRCM,Jitender.Singh4
2025-07-10 00:05:20+05:30,Trojan: JSInject-C,https://salud.grupotriples.com/wp-content/themes/triples-salud/assets/javascript/jquery.ba-throttle-debounce.min.js,"Access was blocked to ""https://salud.grupotriples.com/wp-content/themes/triples-salud/assets/javascript/jquery.ba-throttle-debounce.min.js"" because of ""Troj/JSInject-C"".",-,Low,No,-,-,ALTERMEDRCM\Samiksha.Sharma377,Global User Group,Altermed-436,Global Computer Group,192.168.4.138,2025-07-10,0,Thursday,3,ALTERMEDRCM,Samiksha.Sharma377
2025-07-09 22:56:37+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:56:32+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:56:32+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:56:32+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:56:32+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:56:32+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:56:31+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:33:07+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:33:07+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,setup.exe,0,ALTERMEDRCM\Ritika.Singh136,Global User Group,Altermed-82,Global Computer Group,192.168.4.135,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Ritika.Singh136
2025-07-09 22:25:21+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Guriqbal.Singh266,Global User Group,Altermed-29,Global Computer Group,192.168.3.96,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Guriqbal.Singh266
2025-07-09 22:25:21+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Guriqbal.Singh266,Global User Group,Altermed-29,Global Computer Group,192.168.3.96,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Guriqbal.Singh266
2025-07-09 22:25:21+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Guriqbal.Singh266,Global User Group,Altermed-29,Global Computer Group,192.168.3.96,2025-07-09,22,Wednesday,2,ALTERMEDRCM,Guriqbal.Singh266
2025-07-09 21:42:04+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Navpreet.kaur110,Global User Group,Altermed-178,Global Computer Group,192.168.3.189,2025-07-09,21,Wednesday,2,ALTERMEDRCM,Navpreet.kaur110
2025-07-09 21:42:03+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Navpreet.kaur110,Global User Group,Altermed-178,Global Computer Group,192.168.3.189,2025-07-09,21,Wednesday,2,ALTERMEDRCM,Navpreet.kaur110
2025-07-09 21:42:03+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Navpreet.kaur110,Global User Group,Altermed-178,Global Computer Group,192.168.3.189,2025-07-09,21,Wednesday,2,ALTERMEDRCM,Navpreet.kaur110
2025-07-09 21:24:48+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Navpreet.kaur110,Global User Group,Altermed-178,Global Computer Group,192.168.3.189,2025-07-09,21,Wednesday,2,ALTERMEDRCM,Navpreet.kaur110
2025-07-09 21:24:48+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Navpreet.kaur110,Global User Group,Altermed-178,Global Computer Group,192.168.3.189,2025-07-09,21,Wednesday,2,ALTERMEDRCM,Navpreet.kaur110
